Country;Date;Bee_name
Germany;27-7-2022;Apis mellifera
Germany;27-7-2022;Bombus lapidarius
Germany;27-7-2022;Bombus lapidarius
Germany;27-7-2022;Bombus pascuorum
Germany;27-7-2022;Halictus tumulorum
Germany;27-7-2022;Apis mellifera
Germany;11-6-2022;Lasioglossum villosulum
Germany;15-7-2022;Bombus rupestris
Germany;15-7-2022;Bombus terrestris
Germany;15-7-2022;Melitta haemorrhoidalis
Germany;15-7-2022;Bombus lapidarius
Germany;15-7-2022;Bombus pascuorum
Germany;15-7-2022;Bombus pascuorum
Germany;15-7-2022;Bombus pascuorum
Germany;15-7-2022;Bombus sylvestris
Germany;15-7-2022;Halictus tumulorum
Germany;15-7-2022;Apis mellifera
Germany;10-8-2022;Bombus lapidarius
Germany;10-8-2022;Bombus terrestris
Germany;10-8-2022;Apis mellifera
Germany;10-8-2022;Bombus ruderarius
Germany;10-8-2022;Bombus lapidarius
Germany;10-8-2022;Bombus pascuorum
Germany;10-8-2022;Nomada emarginata
Germany;10-8-2022;Bombus lapidarius
Germany;10-8-2022;Bombus pascuorum
Germany;10-8-2022;Bombus pascuorum
Germany;10-8-2022;Bombus pascuorum
Germany;10-8-2022;Bombus pascuorum
Germany;10-8-2022;Halictus tumulorum
Germany;4-6-2022;Lasioglossum leucozonium
Germany;4-6-2022;Lasioglossum villosulum
Germany;4-6-2022;Lasioglossum villosulum
Germany;4-6-2022;Lasioglossum villosulum
Germany;4-6-2022;Lasioglossum villosulum
Germany;4-6-2022;Lasioglossum villosulum
Germany;4-6-2022;Lasioglossum villosulum
Germany;4-6-2022;Lasioglossum pauxillum
Germany;4-6-2022;Andrena alfkenella
Germany;4-6-2022;Hylaeus confusus
Germany;4-6-2022;Osmia aurulenta
Germany;3-7-2022;Bombus hortorum
Germany;3-7-2022;Bombus lapidarius
Germany;3-7-2022;Bombus pascuorum
Germany;3-7-2022;Halictus tumulorum
Germany;3-7-2022;Hylaeus brevicornis
Germany;3-7-2022;Osmia campanularum
Germany;2-8-2022;Bombus lapidarius
Germany;2-8-2022;Bombus sylvarum
Germany;2-8-2022;Apis mellifera
Germany;2-8-2022;Apis mellifera
Germany;2-8-2022;Bombus pascuorum
Germany;2-8-2022;Halictus tumulorum
Germany;2-8-2022;Lasioglossum morio
Germany;8-6-2022;Lasioglossum villosulum
Germany;8-6-2022;Lasioglossum villosulum
Germany;8-6-2022;Sphecodes crassus
Germany;14-7-2022;Halictus quadricinctus
Germany;14-7-2022;Andrena bicolor
Germany;14-7-2022;Halictus simplex
Germany;14-7-2022;Hylaeus dilatatus
Germany;14-7-2022;Bombus sylvarum
Germany;14-7-2022;Andrena bicolor
Germany;14-7-2022;Bombus pascuorum
Germany;14-7-2022;Halictus quadricinctus
Germany;14-7-2022;Bombus pascuorum
Germany;14-7-2022;Bombus pascuorum
Germany;14-7-2022;Halictus scabiosae
Germany;8-8-2022;Bombus lapidarius
Germany;8-8-2022;Bombus pascuorum
Germany;8-8-2022;Halictus scabiosae
Germany;8-8-2022;Apis mellifera
Germany;8-8-2022;Andrena minutula
Germany;8-8-2022;Bombus pascuorum
Germany;8-8-2022;Bombus pascuorum
Germany;8-8-2022;Bombus pascuorum
Germany;8-8-2022;Halictus scabiosae
Germany;8-8-2022;Halictus scabiosae
Germany;8-8-2022;Halictus scabiosae
Germany;8-8-2022;Halictus simplex
Germany;8-8-2022;Halictus simplex
Germany;8-8-2022;Lasioglossum lineare
Germany;8-8-2022;Bombus pascuorum
Germany;8-8-2022;Ceratina cyanea
Germany;8-8-2022;Halictus simplex
Germany;8-8-2022;Lasioglossum calceatum
Germany;8-8-2022;Lasioglossum calceatum
